Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Petrified Forest NP,,,,,10,10,,,0,20,,20,,0,
Pictured Rocks NL,,,,,15,15,,,0,30,,30,,0,
Pipe Spring NM,,,,,75,75,,,0,150,,150,,0,
Point Reyes NS,,,,,"2,149","2,149",,,0,"4,298",,"4,298",,0,
Prince William Forest Park,,,,,20,20,,,0,40,,40,,0,
Pu'ukohola Heiau NHS,,,,,"3,812","3,252",,,-560,"7,970",,"6,837",,"-1,133",
Reconstruction Era NHP,,,,,81,56,,,-25,112,,112,,0,
Redwood NP,,,,,227,227,,,0,454,,454,,0,
Richmond NBP,,,,,"2,491","2,557",,,66,"4,968",,"5,064",,96,
Rock Creek Park,,,,,"492,305","481,163",,,"-11,142","1,019,035",,"995,037",,"-23,998",
Rocky Mountain NP,,,,,150,150,,,0,420,,420,,0,
Roger Williams NMEM,,,,,119,99,,,-20,187,,199,,12,
Ross Lake NRA,,,,,60,60,,,0,120,,120,,0,
Saguaro NP,,,,,"91,524","92,266",,,742,"186,366",,"186,311",,-55,
Saint Paul's Church NHS,,,,,24,24,,,0,48,,28,,-20,
San Juan Island NHP,,,,,"1,420","1,420",,,0,"2,992",,"2,992",,0,
Santa Monica Mountains NRA,,,,,150,"2,908",,,"2,758","2,252",,"5,413",,"3,161",
Saratoga NHP,,,,,369,428,,,59,999,,826,,-173,
Saugus Iron Works NHS,,,,,23,21,,,-2,34,,31,,-3,
Sequoia NP,,,,,"6,536","6,160",,,-376,"10,076",,"9,692",,-384,
Shenandoah NP,,,,,14,14,,,0,28,,28,,0,
Shiloh NMP,,,,,"1,992","2,122",,,130,"4,891",,"4,850",,-41,
Ste. Genevieve NHP,,,,,105,0,,,-105,210,,0,,-210,
Steamtown NHS,,,,,483,483,,,0,966,,966,,0,
Stones River NB,,,,,20,20,,,0,40,,40,,0,
Stonewall NM,,,,,732,0,,,-732,"1,048",,444,,-604,
