Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Fort Davis NHS,,,,,"6,035","5,099",,,-936,"10,255",,"9,821",,-434,
Fort Donelson NB,,,,,"8,838","6,382",,,"-2,456","15,008",,"12,534",,"-2,474",
Fort Frederica NM,,,,,"24,062","8,704",,,"-15,358","51,899",,"35,488",,"-16,411",
Fort Laramie NHS,,,,,570,541,,,-29,"1,100",,"1,101",,1,
Fort Larned NHS,,,,,"2,164","1,612",,,-552,"3,708",,"3,320",,-388,
Fort Matanzas NM,,,,,"49,776","30,997",,,"-18,779","96,286",,"57,903",,"-38,383",
Fort McHenry NM & HS,,,,,"14,407","43,613",,,"29,206","22,527",,"52,151",,"29,624",
Fort Necessity NB,,,,,"3,403","2,311",,,"-1,092","6,654",,"5,824",,-830,
Fort Point NHS,,,,,"38,451","37,122",,,"-1,329","83,349",,"68,253",,"-15,096",
Fort Pulaski NM,,,,,"65,928","60,225",,,"-5,703","117,747",,"99,113",,"-18,634",
Fort Raleigh NHS,,,,,"9,374","6,116",,,"-3,258","14,191",,"11,619",,"-2,572",
Fort Scott NHS,,,,,"1,189","1,067",,,-122,"1,906",,"1,915",,9,
Fort Smith NHS,,,,,"11,303","5,797",,,"-5,506","18,316",,"12,184",,"-6,132",
Fort Stanwix NM,,,,,"2,175","2,520",,,345,"4,500",,"4,845",,345,
Fort Sumter and Fort Moultrie NHP,,,,,"49,931","56,060",,,"6,129","77,577",,"90,578",,"13,001",
Fort Union NM,,,,,437,486,,,49,697,,857,,160,
Fort Union Trading Post NHS,,,,,50,22,,,-28,70,,57,,-13,
Fort Vancouver NHS,,,,,"81,101","77,392",,,"-3,709","157,909",,"135,737",,"-22,172",
Fort Washington Park,,,,,"45,552","51,608",,,"6,056","84,802",,"118,319",,"33,517",
Fossil Butte NM,,,,,114,109,,,-5,254,,220,,-34,
Franklin Delano Roosevelt MEM,,,,,"79,143","63,454",,,"-15,689","114,618",,"92,226",,"-22,392",
Frederick Douglass NHS,,,,,"2,743","1,536",,,"-1,207","4,035",,"2,845",,"-1,190",
Frederick Law Olmsted NHS,,,,,376,448,,,72,"1,136",,820,,-316,
Fredericksburg & Spotsylvania NMP,,,,,"24,292","25,629",,,"1,337","47,295",,"53,846",,"6,551",
