Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Eugene O'Neill NHS,,,,,764,850,,,86,"1,504",,"2,242",,738,
Everglades NP,,,,,"83,898","87,926",,,"4,028","149,483",,"177,865",,"28,382",
Federal Hall NMEM,,,,,"4,029","4,331",,,302,"7,040",,"8,188",,"1,148",
Fire Island NS,,,,,"8,115","5,472",,,"-2,643","10,707",,"11,656",,949,
First Ladies NHS,,,,,742,265,,,-477,"1,175",,467,,-708,
First State NHP,,,,,"7,000","5,156",,,"-1,844","14,785",,"9,478",,"-5,307",
Flight 93 NMEM,,,,,"7,053","4,618",,,"-2,435","10,195",,"9,667",,-528,
Florissant Fossil Beds NM,,,,,"1,620","4,236",,,"2,616","2,359",,"5,435",,"3,076",
Ford's Theatre NHS,,,,,"24,354","18,993",,,"-5,361","36,027",,"32,076",,"-3,951",
Fort Bowie NHS,,,,,"1,146","1,233",,,87,"2,053",,"2,216",,163,
Fort Caroline NMEM,,,,,"29,767","29,767",,,0,"61,211",,"56,025",,"-5,186",
Fort Davis NHS,,,,,"3,018","2,550",,,-468,"5,128",,"4,911",,-217,
Fort Donelson NB,,,,,"13,270","9,583",,,"-3,687","22,534",,"18,821",,"-3,713",
Fort Frederica NM,,,,,"23,841","8,625",,,"-15,216","51,423",,"35,163",,"-16,260",
Fort Laramie NHS,,,,,570,541,,,-29,"1,100",,"1,101",,1,
Fort Larned NHS,,,,,"1,082",806,,,-276,"1,854",,"1,660",,-194,
Fort Matanzas NM,,,,,"51,455","30,796",,,"-20,659","99,109",,"57,242",,"-41,867",
Fort McHenry NM & HS,,,,,"9,605","29,076",,,"19,471","15,018",,"34,768",,"19,750",
Fort Necessity NB,,,,,"4,483","2,229",,,"-2,254","8,961",,"6,592",,"-2,369",
Fort Point NHS,,,,,"67,564","67,441",,,-123,"147,565",,"125,944",,"-21,621",
Fort Pulaski NM,,,,,"32,964","30,113",,,"-2,851","58,874",,"49,557",,"-9,317",
Fort Raleigh NHS,,,,,"9,374","6,116",,,"-3,258","14,191",,"11,619",,"-2,572",
Fort Scott NHS,,,,,793,711,,,-82,"1,271",,"1,276",,5,
Fort Smith NHS,,,,,"8,498","4,358",,,"-4,140","13,771",,"9,160",,"-4,611",
Fort Stanwix NM,,,,,"1,450","1,680",,,230,"3,000",,"3,230",,230,
Fort Sumter and Fort Moultrie NHP,,,,,"22,202","49,684",,,"27,482","34,639",,"88,097",,"53,458",
Fort Union NM,,,,,370,412,,,42,590,,726,,136,
