Park,,,,,Jan-24,Jan-25,,,DIFF,YTD 2024,,YTD 2025,,DIFF
Pipe Spring NM,,,,,32,32,,,0,32,,32,,0
Point Reyes NS,,,,,"2,149","2,149",,,0,"2,149",,"2,149",,0
Prince William Forest Park,,,,,10,10,,,0,10,,10,,0
Pu'ukohola Heiau NHS,,,,,"24,959","21,521",,,"-3,438","24,959",,"21,521",,"-3,438"
Reconstruction Era NHP,,,,,25,45,,,20,25,,45,,20
Redwood NP,,,,,902,902,,,0,902,,902,,0
Richmond NBP,,,,,"9,910","10,027",,,117,"9,910",,"10,027",,117
Rock Creek Park,,,,,"1,053,461","1,027,748",,,"-25,713","1,053,461",,"1,027,748",,"-25,713"
Rocky Mountain NP,,,,,90,90,,,0,90,,90,,0
Roger Williams NMEM,,,,,852,"1,252",,,400,852,,"1,252",,400
Ross Lake NRA,,,,,60,60,,,0,60,,60,,0
Saguaro NP,,,,,"379,370","376,182",,,"-3,188","379,370",,"376,182",,"-3,188"
Saint Paul's Church NHS,,,,,25,15,,,-10,25,,15,,-10
San Juan Island NHP,,,,,"6,287","6,287",,,0,"6,287",,"6,287",,0
Santa Monica Mountains NRA,,,,,"4,115","4,920",,,805,"4,115",,"4,920",,805
Saratoga NHP,,,,,"7,872","4,970",,,"-2,902","7,872",,"4,970",,"-2,902"
Saugus Iron Works NHS,,,,,110,99,,,-11,110,,99,,-11
Sequoia NP,,,,,885,883,,,-2,885,,883,,-2
Shenandoah NP,,,,,56,56,,,0,56,,56,,0
Shiloh NMP,,,,,"14,497","13,640",,,-857,"14,497",,"13,640",,-857
Ste. Genevieve NHP,,,,,15,0,,,-15,15,,0,,-15
Steamtown NHS,,,,,966,966,,,0,966,,966,,0
Stones River NB,,,,,120,120,,,0,120,,120,,0
Stonewall NM,,,,,79,111,,,32,79,,111,,32
Sunset Crater Volcano NM,,,,,"1,000","1,000",,,0,"1,000",,"1,000",,0
Theodore Roosevelt Birthplace NHS,,,,,12,12,,,0,12,,12,,0
Theodore Roosevelt NP,,,,,472,472,,,0,472,,472,,0
Upper Delaware S&RR,,,,,"17,363","11,710",,,"-5,653","17,363",,"11,710",,"-5,653"
Valles Caldera NPRES,,,,,4,4,,,0,4,,4,,0
Virgin Islands NP,,,,,"19,070","15,000",,,"-4,070","19,070",,"15,000",,"-4,070"
Walnut Canyon NM,,,,,40,40,,,0,40,,40,,0
War in the Pacific NHP,,,,,84,24,,,-60,84,,24,,-60
Whiskeytown NRA,,,,,495,490,,,-5,495,,490,,-5
Wind Cave NP,,,,,"12,605","12,547",,,-58,"12,605",,"12,547",,-58
Women's Rights NHP,,,,,112,112,,,0,112,,112,,0
Wright Brothers NMEM,,,,,186,186,,,0,186,,186,,0
Wupatki NM,,,,,558,558,,,0,558,,558,,0
Yellowstone NP,,,,,"58,796","59,455",,,659,"58,796",,"59,455",,659
Yosemite NP,,,,,"5,479","5,791",,,312,"5,479",,"5,791",,312
Zion NP,,,,,"1,860","1,860",,,0,"1,860",,"1,860",,0
