Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Fort Point NHS,,,,,"80,001","58,503",,,"-21,498","80,001",,"58,503",,"-21,498",
Fort Pulaski NM,,,,,"25,910","19,444",,,"-6,466","25,910",,"19,444",,"-6,466",
Fort Raleigh NHS,,,,,"4,817","5,503",,,686,"4,817",,"5,503",,686,
Fort Scott NHS,,,,,478,565,,,87,478,,565,,87,
Fort Smith NHS,,,,,"5,273","4,802",,,-471,"5,273",,"4,802",,-471,
Fort Stanwix NM,,,,,"1,550","1,550",,,0,"1,550",,"1,550",,0,
Fort Sumter and Fort Moultrie NHP,,,,,"12,437","38,413",,,"25,976","12,437",,"38,413",,"25,976",
Fort Union NM,,,,,220,314,,,94,220,,314,,94,
Fort Union Trading Post NHS,,,,,41,69,,,28,41,,69,,28,
Fort Vancouver NHS,,,,,"73,393","60,310",,,"-13,083","73,393",,"60,310",,"-13,083",
Fort Washington Park,,,,,"13,084","22,237",,,"9,153","13,084",,"22,237",,"9,153",
Fossil Butte NM,,,,,157,97,,,-60,157,,97,,-60,
Franklin Delano Roosevelt MEM,,,,,"70,951","57,544",,,"-13,407","70,951",,"57,544",,"-13,407",
Frederick Douglass NHS,,,,,"1,292","1,309",,,17,"1,292",,"1,309",,17,
Frederick Law Olmsted NHS,,,,,380,186,,,-194,380,,186,,-194,
Fredericksburg & Spotsylvania NMP,,,,,"50,999","55,735",,,"4,736","50,999",,"55,735",,"4,736",
Friendship Hill NHS,,,,,480,517,,,37,480,,517,,37,
Gateway Arch NP,,,,,"58,573","55,940",,,"-2,633","58,573",,"55,940",,"-2,633",
Gateway NRA,,,,,"472,387","461,883",,,"-10,504","472,387",,"461,883",,"-10,504",
Gauley River NRA,,,,,"4,210","1,998",,,"-2,212","4,210",,"1,998",,"-2,212",
General Grant NMEM,,,,,"3,106",235,,,"-2,871","3,106",,235,,"-2,871",
George Rogers Clark NHP,,,,,"3,184","2,384",,,-800,"3,184",,"2,384",,-800,
George Washington Birthplace NM,,,,,"2,032",648,,,"-1,384","2,032",,648,,"-1,384",
