Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Fire Island NS,,,,,"5,233","12,513",,,"7,280","5,233",,"12,513",,"7,280",
First Ladies NHS,,,,,866,404,,,-462,866,,404,,-462,
First State NHP,,,,,"16,601","9,018",,,"-7,583","16,601",,"9,018",,"-7,583",
Flight 93 NMEM,,,,,"5,499","8,835",,,"3,336","5,499",,"8,835",,"3,336",
Florissant Fossil Beds NM,,,,,898,"1,478",,,580,898,,"1,478",,580,
Ford's Theatre NHS,,,,,"14,300","16,027",,,"1,727","14,300",,"16,027",,"1,727",
Fort Bowie NHS,,,,,"1,813","1,974",,,161,"1,813",,"1,974",,161,
Fort Caroline NMEM,,,,,"31,444","26,258",,,"-5,186","31,444",,"26,258",,"-5,186",
Fort Davis NHS,,,,,"4,220","4,722",,,502,"4,220",,"4,722",,502,
Fort Donelson NB,,,,,"6,170","6,152",,,-18,"6,170",,"6,152",,-18,
Fort Frederica NM,,,,,"27,837","26,784",,,"-1,053","27,837",,"26,784",,"-1,053",
Fort Laramie NHS,,,,,530,560,,,30,530,,560,,30,
Fort Larned NHS,,,,,"1,544","1,708",,,164,"1,544",,"1,708",,164,
Fort Matanzas NM,,,,,"46,510","26,906",,,"-19,604","46,510",,"26,906",,"-19,604",
Fort McHenry NM & HS,,,,,"8,120","8,538",,,418,"8,120",,"8,538",,418,
Fort Necessity NB,,,,,"3,251","3,513",,,262,"3,251",,"3,513",,262,
Fort Point NHS,,,,,"44,898","31,131",,,"-13,767","44,898",,"31,131",,"-13,767",
Fort Pulaski NM,,,,,"51,819","38,888",,,"-12,931","51,819",,"38,888",,"-12,931",
Fort Raleigh NHS,,,,,"4,817","5,503",,,686,"4,817",,"5,503",,686,
Fort Scott NHS,,,,,717,848,,,131,717,,848,,131,
Fort Smith NHS,,,,,"7,013","6,387",,,-626,"7,013",,"6,387",,-626,
Fort Stanwix NM,,,,,"2,325","2,325",,,0,"2,325",,"2,325",,0,
Fort Sumter and Fort Moultrie NHP,,,,,"27,646","34,518",,,"6,872","27,646",,"34,518",,"6,872",
Fort Union NM,,,,,260,371,,,111,260,,371,,111,
Fort Union Trading Post NHS,,,,,20,35,,,15,20,,35,,15,
Fort Vancouver NHS,,,,,"76,808","58,345",,,"-18,463","76,808",,"58,345",,"-18,463",
Fort Washington Park,,,,,"39,250","66,711",,,"27,461","39,250",,"66,711",,"27,461",
Fossil Butte NM,,,,,140,111,,,-29,140,,111,,-29,
Franklin Delano Roosevelt MEM,,,,,"35,475","28,772",,,"-6,703","35,475",,"28,772",,"-6,703",
Frederick Douglass NHS,,,,,"1,292","1,309",,,17,"1,292",,"1,309",,17,
Frederick Law Olmsted NHS,,,,,760,372,,,-388,760,,372,,-388,
Fredericksburg & Spotsylvania NMP,,,,,"23,003","28,217",,,"5,214","23,003",,"28,217",,"5,214",
Friendship Hill NHS,,,,,"1,341","1,439",,,98,"1,341",,"1,439",,98,
Gateway Arch NP,,,,,"128,861","123,068",,,"-5,793","128,861",,"123,068",,"-5,793",
Gateway NRA,,,,,"860,332","842,391",,,"-17,941","860,332",,"842,391",,"-17,941",
Gauley River NRA,,,,,"22,408","11,346",,,"-11,062","22,408",,"11,346",,"-11,062",
General Grant NMEM,,,,,"1,174",118,,,"-1,056","1,174",,118,,"-1,056",
George Rogers Clark NHP,,,,,"4,266","3,195",,,"-1,071","4,266",,"3,195",,"-1,071",
George Washington Birthplace NM,,,,,"5,405","1,585",,,"-3,820","5,405",,"1,585",,"-3,820",
George Washington Carver NM,,,,,847,913,,,66,847,,913,,66,
George Washington MEM PKWY,,,,,"278,110","326,973",,,"48,863","278,110",,"326,973",,"48,863",
Gettysburg NMP,,,,,"50,399","49,635",,,-764,"50,399",,"49,635",,-764,
Gila Cliff Dwellings NM,,,,,"2,392","2,290",,,-102,"2,392",,"2,290",,-102,
Glacier Bay NP & PRES,,,,,"3,948","3,948",,,0,"3,948",,"3,948",,0,
Glacier NP,,,,,"56,060","71,971",,,"15,911","56,060",,"71,971",,"15,911",
Glen Canyon NRA,,,,,"408,494","722,262",,,"313,768","408,494",,"722,262",,"313,768",
Golden Gate NRA,,,,,"2,915,700","2,837,567",,,"-78,133","2,915,700",,"2,837,567",,"-78,133",
Golden Spike NHP,,,,,"1,180","1,797",,,617,"1,180",,"1,797",,617,
Governors Island NM,,,,,0,182,,,182,0,,182,,182,
Grand Canyon NP,,,,,"2,702,486","2,941,690",,,"239,204","2,702,486",,"2,941,690",,"239,204",
Grand Portage NM,,,,,"1,768","1,357",,,-411,"1,768",,"1,357",,-411,
Grand Teton NP,,,,,"155,932","162,921",,,"6,989","155,932",,"162,921",,"6,989",
Grant-Kohrs Ranch NHS,,,,,723,556,,,-167,723,,556,,-167,
Great Basin NP,,,,,"5,067","10,756",,,"5,689","5,067",,"10,756",,"5,689",
Great Sand Dunes NP & PRES,,,,,"14,110","19,730",,,"5,620","14,110",,"19,730",,"5,620",
Great Smoky Mountains NP,,,,,"1,059,919","774,584",,,"-285,335","1,059,919",,"774,584",,"-285,335",
Greenbelt Park,,,,,"11,433","15,757",,,"4,324","11,433",,"15,757",,"4,324",
Guadalupe Mountains NP,,,,,"29,134","32,749",,,"3,615","29,134",,"32,749",,"3,615",
Guilford Courthouse NMP,,,,,"16,336","13,641",,,"-2,695","16,336",,"13,641",,"-2,695",
Gulf Islands NS,,,,,"1,314,844","1,170,383",,,"-144,461","1,314,844",,"1,170,383",,"-144,461",
Hagerman Fossil Beds NM,,,,,240,523,,,283,240,,523,,283,
Haleakala NP,,,,,"188,848","185,077",,,"-3,771","188,848",,"185,077",,"-3,771",
Hamilton Grange NMEM,,,,,"1,717","3,529",,,"1,812","1,717",,"3,529",,"1,812",
Hampton NHS,,,,,780,377,,,-403,780,,377,,-403,
Harpers Ferry NHP,,,,,"28,364","12,841",,,"-15,523","28,364",,"12,841",,"-15,523",
Harriet Tubman Underground Railroad NHP,,,,,350,350,,,0,350,,350,,0,
Harry S Truman NHS,,,,,294,449,,,155,294,,449,,155,
Hawaii Volcanoes NP,,,,,"873,112","1,118,977",,,"245,865","873,112",,"1,118,977",,"245,865",
Herbert Hoover NHS,,,,,"4,891","5,921",,,"1,030","4,891",,"5,921",,"1,030",
Home of Franklin D. Roosevelt NHS,,,,,"3,366","4,060",,,694,"3,366",,"4,060",,694,
Homestead NHP,,,,,"2,670","1,472",,,"-1,198","2,670",,"1,472",,"-1,198",
Hopewell Culture NHP,,,,,"1,967","1,947",,,-20,"1,967",,"1,947",,-20,
Hopewell Furnace NHS,,,,,"1,462","1,784",,,322,"1,462",,"1,784",,322,
Horseshoe Bend NMP,,,,,"8,061","7,750",,,-311,"8,061",,"7,750",,-311,
Hot Springs NP,,,,,"416,898","332,434",,,"-84,464","416,898",,"332,434",,"-84,464",
Hovenweep NM,,,,,996,"1,339",,,343,996,,"1,339",,343,
Hubbell Trading Post NHS,,,,,"1,364","1,412",,,48,"1,364",,"1,412",,48,
Ice Age NST,,,,,"2,602",797,,,"-1,805","2,602",,797,,"-1,805",
Independence NHP,,,,,"172,527","163,846",,,"-8,681","172,527",,"163,846",,"-8,681",
Indiana Dunes NP,,,,,"123,250","167,251",,,"44,001","123,250",,"167,251",,"44,001",
James A. Garfield NHS,,,,,"1,874","1,520",,,-354,"1,874",,"1,520",,-354,
Jean Lafitte NHP & PRES,,,,,"14,838","20,616",,,"5,778","14,838",,"20,616",,"5,778",
Jewel Cave NM,,,,,"1,306",598,,,-708,"1,306",,598,,-708,
Jimmy Carter NHP,,,,,"1,846","6,462",,,"4,616","1,846",,"6,462",,"4,616",
"John D. Rockefeller, Jr. MEM PKWY",,,,,504,"1,640",,,"1,136",504,,"1,640",,"1,136",
John Day Fossil Beds NM,,,,,"1,991","2,066",,,75,"1,991",,"2,066",,75,
John F. Kennedy NHS,,,,,8,64,,,56,8,,64,,56,
