ParkName,Date,RecreationVisits,predicted,lower_bound,upper_bound
Olympic NP,1984-09-01,501946.0,298894.2211557005,182407.6764024195,415380.7659089815
Olympic NP,1985-09-01,303874.0,431841.75521535485,315883.00759210327,547800.5028386065
Olympic NP,1986-08-01,687083.0,546498.3108350753,430898.86457488337,662097.7570952673
Olympic NP,1994-07-01,578213.0,461503.7537680855,346738.80207104253,576268.7054651284
Olympic NP,1994-08-01,948440.0,664169.2828481952,549404.837425405,778933.7282709853
Olympic NP,1996-07-01,469384.0,600851.3886463413,486118.1135753017,715584.6637173808
Olympic NP,1996-09-01,548851.0,425526.56946978474,310793.7301629178,540259.4087766517
Olympic NP,2002-07-01,699732.0,577002.1809563547,462298.9788119382,691705.3831007712
Olympic NP,2004-07-01,399944.0,519443.8681943387,404743.10768479994,634144.6287038774
Olympic NP,2004-08-01,940156.0,721097.1414849703,606396.4014383873,835797.8815315533
Olympic NP,2004-09-01,341704.0,461678.2667295221,346977.5397937442,576378.9936653
Olympic NP,2008-06-01,454678.0,305874.23922136665,191175.43940510583,420573.03903762746
Olympic NP,2008-08-01,634421.0,757596.8178444733,642898.0308527955,872295.6048361511
Olympic NP,2013-08-01,855663.0,655846.6572832293,541148.4714829773,770544.8430834813
Olympic NP,2015-06-01,550337.0,379228.1696372398,264530.0544688826,493926.2848055969
Olympic NP,2015-08-01,702159.0,823907.3753992685,709209.2615997358,938605.4891988011
Olympic NP,2020-04-01,40297.0,160951.10520239378,46253.05491165169,275649.15549313586
Olympic NP,2020-05-01,66013.0,253010.00370314816,138311.953619265,367708.0537870313
Olympic NP,2020-06-01,186034.0,359510.9330128557,244812.88310932828,474208.98291638313
Olympic NP,2020-07-01,510073.0,389543.9107529066,274845.861003289,504241.96050252416
Olympic NP,2023-08-01,518417.0,663562.161750693,548864.1221591812,778260.2013422048
Olympic NP,2023-09-01,389551.0,266307.9207331251,151609.8811718182,381005.960294432
Olympic NP,2023-10-01,322314.0,168160.4959545496,53462.45639976392,282858.5355093353
Olympic NP,2024-09-01,537342.0,392518.26380784356,277820.2259448512,507216.30167083594
Olympic NP,2025-05-01,428803.0,293547.25786548574,178849.22112776592,408245.2946032055
Petrified Forest NP,1979-06-01,108168.0,49498.77863247784,21696.712749481845,77300.84451547384
Petrified Forest NP,1979-07-01,116813.0,80051.60408335127,52363.86517320237,107739.34299350016
Petrified Forest NP,1979-09-01,53731.0,90712.6272005612,63125.51821066891,118299.73619045349
Petrified Forest NP,1979-11-01,23944.0,57825.80480111597,30278.192607408404,85373.41699482354
Petrified Forest NP,1979-12-01,20225.0,48901.79881900702,21735.13026519322,76068.46737282081
Petrified Forest NP,1980-01-01,18616.0,45009.74069867817,19943.073146624654,70076.40825073169
Petrified Forest NP,1980-06-01,122517.0,89753.56258167798,65179.16720811093,114327.95795524503
Petrified Forest NP,1982-01-01,13520.0,38794.55228811135,15448.93065425985,62140.17392196285
Petrified Forest NP,1988-06-01,197962.0,129808.31077652535,106768.2834884408,152848.3380646099
Petrified Forest NP,1988-07-01,140450.0,179000.04127249555,155960.048105132,202040.0344398591
Petrified Forest NP,1989-06-01,134087.0,157789.2249778646,134749.83833135205,180828.61162437714
Petrified Forest NP,1990-05-01,118115.0,77654.29510348552,54615.16152819237,100693.42867877867
Petrified Forest NP,1990-06-01,116102.0,173916.5474122455,150877.4210818361,196955.6737426549
Petrified Forest NP,1993-05-01,69888.0,95447.45655565528,72408.49580891707,118486.4173023935
Petrified Forest NP,1993-07-01,173214.0,149433.69160212792,126394.73172016875,172472.65148408708
Petrified Forest NP,1996-06-01,108508.0,142948.75229607185,119909.8031419533,165987.7014501904
Petrified Forest NP,2013-10-01,26470.0,61560.67420521068,38521.725846710884,84599.62256371047
Petrified Forest NP,2014-05-01,100994.0,73290.36377692137,50251.41541842166,96329.31213542107
Petrified Forest NP,2014-10-01,105314.0,51977.634355409224,28938.685996909517,75016.58271390892
Petrified Forest NP,2014-11-01,37863.0,66286.58997239635,43247.641613896645,89325.53833089606
Petrified Forest NP,2015-10-01,50511.0,77044.96112335594,54006.01276485628,100083.9094818556
Petrified Forest NP,2018-07-01,81520.0,105512.50968599033,82473.5613274907,128551.45804448996
Petrified Forest NP,2020-04-01,0.0,48468.213962940456,25429.26560444082,71507.16232144009
Petrified Forest NP,2020-05-01,900.0,38285.58071646439,15246.632357964754,61324.529074964026
Pinnacles NP,1998-02-01,1321.0,10763.174209219098,1519.4889798743716,20006.859438563824
Pinnacles NP,1998-03-01,0.0,12190.533910067166,2947.2294682600314,21433.8383518743
Pinnacles NP,2001-03-01,34184.0,14784.748469526017,5570.447235142568,23999.049703909466
Pinnacles NP,2006-03-01,11086.0,20399.89020205287,11220.13445194448,29579.64595216126
