ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays
Great Smoky Mountains NP,,National Park,,,2025,7,1435337,1016000.0,6593187,508000.0,1307.0,,31155.0,21620.0,5479.0,,8000.0
Guadalupe Mountains NP,,National Park,,,2025,7,11328,120.0,33240,120.0,,,959.0,507.0,113.0,,157.0
Haleakala NP,,National Park,,,2025,7,91757,1680.0,257746,1680.0,,,1979.0,,514.0,,600.0
Hawaii Volcanoes NP,,National Park,,,2025,7,171827,161335.0,1092077,53240.0,3316.0,757.0,76.0,0.0,340.0,,7333.0
Hot Springs NP,,National Park,,,2025,7,326302,12572.0,903552,14333.0,,,61.0,3350.0,,,
Indiana Dunes NP,,National Park,,,2025,7,423731,335.0,1397132,167.0,,,5025.0,1972.0,,,
Isle Royale NP,,National Park,,,2025,7,8484,5.0,428751,20.0,4421.0,0.0,1189.0,,5896.0,0.0,6461.0
Joshua Tree NP,,National Park,,,2025,7,139664,514.0,593531,514.0,,,3652.0,1506.0,63.0,,958.0
Katmai NP & PRES,,National Park,,,2025,7,14447,2168.0,173931,13442.0,1645.0,,1870.0,,0.0,0.0,
Kenai Fjords NP,,National Park,,,2025,7,134575,,432180,,,,238.0,,13.0,,149.0
Kings Canyon NP,,National Park,,,2025,7,128217,4264.0,4731204,17056.0,5699.0,,22454.0,8847.0,3921.0,,439.0
Kobuk Valley NP,,National Park,,,2025,7,1897,760.0,19147,25280.0,,,,,525.0,800.0,
Lake Clark NP & PRES,,National Park,,,2025,7,9139,1047.0,40036,2094.0,,,,,989.0,0.0,0.0
Lassen Volcanic NP,,National Park,,,2025,7,113063,,1302537,,,0.0,17649.0,7890.0,253.0,,3930.0
Mammoth Cave NP,,National Park,,,2025,7,102778,6000.0,753618,3000.0,2747.0,,6859.0,1846.0,362.0,,732.0
Mesa Verde NP,,National Park,,,2025,7,78589,2078.0,523632,2078.0,2021.0,,3613.0,3790.0,,,20.0
Mount Rainier NP,,National Park,,,2025,7,391578,193202.0,7831550,193202.0,10201.0,,9765.0,5274.0,13955.0,,49.0
National Park of American Samoa,,National Park,,,2025,7,9078,,18157,,,,,,,,
New River Gorge NP & PRES,,National Park,,,2025,7,259769,3000.0,789982,750.0,,,3746.0,1447.0,2713.0,,879.0
North Cascades NP,,National Park,,,2025,7,16828,,209721,,,,,,7219.0,,
Olympic NP,,National Park,,,2025,7,539855,133451.0,3501122,40816.0,0.0,0.0,28017.0,41412.0,36923.0,,
Petrified Forest NP,,National Park,,,2025,7,49151,10.0,125213,10.0,,,,,33.0,,
Pinnacles NP,,National Park,,,2025,7,28051,,313287,,,9861.0,,,,,
Redwood NP,,National Park,,,2025,7,199369,902.0,799206,227.0,,,0.0,,4612.0,,105.0
Rocky Mountain NP,,National Park,,,2025,7,763213,2050.0,5455662,6150.0,,,27814.0,11820.0,11872.0,,3268.0
Saguaro NP,,National Park,,,2025,7,34647,409787.0,56877,102447.0,,,,,27.0,,
Sequoia NP,,National Park,,,2025,7,200392,1047.0,7394466,4188.0,7605.0,,19293.0,5492.0,6516.0,,
Shenandoah NP,,National Park,,,2025,7,188144,1414.0,1200656,354.0,5391.0,,18033.0,7119.0,1145.0,,64.0
Theodore Roosevelt NP,,National Park,,,2025,7,155747,622.0,575640,205.0,,,3008.0,3723.0,143.0,,262.0
Virgin Islands NP,,National Park,,,2025,7,43356,15000.0,266640,3750.0,382.0,287.0,,,,0.0,0.0
Voyageurs NP,,National Park,,,2025,7,42178,,194986,,1108.0,,,,15091.0,,1677.0
White Sands NP,,National Park,,,2025,7,70086,,35043,,,,,,,,
Wind Cave NP,,National Park,,,2025,7,111639,24880.0,418651,8210.0,,,1850.0,2105.0,156.0,,504.0
Wrangell-St. Elias NP & PRES,,National Park,,,2025,7,28195,,1296972,,,,,,17.0,,7815.0
Yellowstone NP,,National Park,,,2025,7,975109,199376.0,18360248,110339.0,131842.0,109073.0,15477.0,8510.0,10879.0,,1675.0
Yosemite NP,,National Park,,,2025,7,604907,23493.0,9898564,598316.0,79756.0,,78791.0,41752.0,42989.0,,2213.0
Zion NP,,National Park,,,2025,7,529798,1860.0,3341625,465.0,10121.0,,9984.0,9045.0,791.0,,3727.0
