year,state,state_po,Winner,PreviousWinner,Flipped,FlipType,TotalVisits,VisitChangeFromPrevYear,VisitChangeToNextYear,VisitChange2YearsAfter
1996,HAWAII,HI,DEMOCRAT,DEMOCRAT,False,No Flip,4133725,11.55418212984972,4.5785096976697774,-1.0611010650200485
2000,HAWAII,HI,DEMOCRAT,DEMOCRAT,False,No Flip,4322988,4.5785096976697774,-5.392705230733927,-0.18780991295835195
2004,HAWAII,HI,DEMOCRAT,DEMOCRAT,False,No Flip,4089862,-5.392705230733927,5.501579270889825,9.290191209385549
2008,HAWAII,HI,DEMOCRAT,DEMOCRAT,False,No Flip,4314869,5.501579270889825,3.591047607702574,16.70609235181879
2012,HAWAII,HI,DEMOCRAT,DEMOCRAT,False,No Flip,4469818,3.591047607702574,12.660403622697835,-37.46928845872472
2016,HAWAII,HI,DEMOCRAT,DEMOCRAT,False,No Flip,5035715,12.660403622697835,-44.49628305017262,
2020,HAWAII,HI,DEMOCRAT,DEMOCRAT,False,No Flip,2795009,-44.49628305017262,,
1980,INDIANA,IN,REPUBLICAN,REPUBLICAN,False,No Flip,1634624,,17.067778278062722,37.53646098429975
1984,INDIANA,IN,REPUBLICAN,REPUBLICAN,False,No Flip,1913618,17.067778278062722,17.48447182248495,20.555669940395628
1988,INDIANA,IN,REPUBLICAN,REPUBLICAN,False,No Flip,2248204,17.48447182248495,2.6141311019818487,-26.85601484562789
1992,INDIANA,IN,REPUBLICAN,REPUBLICAN,False,No Flip,2306975,2.6141311019818487,-28.719383608404947,-16.55167481225414
1996,INDIANA,IN,REPUBLICAN,REPUBLICAN,False,No Flip,1644426,-28.719383608404947,17.07015092196304,13.401454367663854
2000,INDIANA,IN,REPUBLICAN,REPUBLICAN,False,No Flip,1925132,17.07015092196304,-3.1337591396330224,-3.198689752183227
2004,INDIANA,IN,REPUBLICAN,REPUBLICAN,False,No Flip,1864803,-3.1337591396330224,-0.0670312091947514,1.5996864011909033
2008,INDIANA,IN,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,1863553,-0.0670312091947514,1.6678355807428067,-8.589881801054222
2012,INDIANA,IN,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,1894634,1.6678355807428067,-10.089442076939397,21.23972228937093
2016,INDIANA,IN,REPUBLICAN,REPUBLICAN,False,No Flip,1703476,-10.089442076939397,34.844811432623644,
2020,INDIANA,IN,REPUBLICAN,REPUBLICAN,False,No Flip,2297049,34.844811432623644,,
1980,KENTUCKY,KY,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,1668875,,0.33933038723691106,14.370339300426934
1984,KENTUCKY,KY,REPUBLICAN,REPUBLICAN,False,No Flip,1674538,0.33933038723691106,13.983558450151623,53.23307085297557
1988,KENTUCKY,KY,REPUBLICAN,REPUBLICAN,False,No Flip,1908698,13.983558450151623,34.43436311035062,4.211457234198391
1992,KENTUCKY,KY,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,2565946,34.43436311035062,-22.48153312657398,-28.232277686280227
