State,Year,Decade,StateCategory,RepublicanPct,TotalVisits,YoYChange
KY,1998,1990,Red,75.0,2206245,5.5664571362129776
KY,1999,1990,Red,75.0,1803236,-18.266738281559842
KY,2000,2000,Red,75.0,1841521,2.123127532946325
KY,2001,2000,Red,75.0,1975833,7.293536158425562
KY,2002,2000,Red,75.0,1983560,0.39107556154796486
KY,2003,2000,Red,75.0,1961390,-1.1176873903486662
KY,2004,2000,Red,75.0,1980520,0.975328720958096
KY,2005,2000,Red,75.0,1970259,-0.5180962575485226
KY,2006,2000,Red,75.0,740552,-62.41346949817258
KY,2007,2000,Red,75.0,624927,-15.613353282416359
KY,2008,2000,Red,75.0,584118,-6.530202727678593
KY,2009,2000,Red,75.0,646033,10.599741832985801
KY,2010,2010,Red,75.0,636852,-1.4211348336694876
KY,2011,2010,Red,75.0,619412,-2.738469848567642
KY,2012,2010,Red,75.0,647062,4.463910934886634
KY,2013,2010,Red,75.0,631437,-2.414760872992078
KY,2014,2010,Red,75.0,657042,4.055036369424029
KY,2015,2010,Red,75.0,714366,8.724556421050709
KY,2016,2010,Red,75.0,732544,2.544633983140295
KY,2017,2010,Red,75.0,723870,-1.1840926961383889
KY,2018,2010,Red,75.0,676129,-6.595245002555708
KY,2019,2010,Red,75.0,660982,-2.240252969477718
KY,2020,2020,Red,75.0,374701,-43.3114668780693
KY,2021,2020,Red,75.0,657127,75.37369796184159
KY,2022,2020,Red,75.0,796497,21.208990043020602
KY,2023,2020,Red,75.0,764886,-3.968753177978072
KY,2024,2020,Red,75.0,857043,12.048462123767463
ME,1980,1980,Swing,33.33333333333333,3273095,2.8214931836009347
ME,1981,1980,Swing,33.33333333333333,3402973,3.9680485900959184
ME,1982,1980,Swing,33.33333333333333,3755161,10.349420932813748
ME,1983,1980,Swing,33.33333333333333,4307663,14.713137466010112
ME,1984,1980,Swing,33.33333333333333,3917797,-9.05052229016058
ME,1985,1980,Swing,33.33333333333333,3928594,0.27558855142315947
ME,1986,1980,Swing,33.33333333333333,4112078,4.670474984180091
ME,1987,1980,Swing,33.33333333333333,4476434,8.860629589224718
ME,1988,1980,Swing,33.33333333333333,4690959,4.792319064684077
ME,1989,1980,Swing,33.33333333333333,5629628,20.010172759983618
ME,1990,1990,Swing,33.33333333333333,2592137,-53.955447855524376
ME,1991,1990,Swing,33.33333333333333,2728433,5.258055419138726
ME,1992,1990,Swing,33.33333333333333,2634689,-3.4358182883728503
ME,1993,1990,Swing,33.33333333333333,2908610,10.39671095905437
ME,1994,1990,Swing,33.33333333333333,2963325,1.8811391008076024
ME,1995,1990,Swing,33.33333333333333,3097954,4.543173630971966
ME,1996,1990,Swing,33.33333333333333,2957407,-4.53676846073247
ME,1997,1990,Swing,33.33333333333333,3012882,1.8757986303542258
ME,1998,1990,Swing,33.33333333333333,2847073,-5.50333534469654
ME,1999,1990,Swing,33.33333333333333,2854803,0.27150691253789416
ME,2000,2000,Swing,33.33333333333333,2721814,-4.658430021265915
ME,2001,2000,Swing,33.33333333333333,2769127,1.7382892438645696
ME,2002,2000,Swing,33.33333333333333,2811148,1.5174818634176042
ME,2003,2000,Swing,33.33333333333333,2465562,-12.293411801868844
ME,2004,2000,Swing,33.33333333333333,2242347,-9.053311172057324
ME,2005,2000,Swing,33.33333333333333,2098584,-6.411273545084681
ME,2006,2000,Swing,33.33333333333333,2130688,1.5297934226125807
ME,2007,2000,Swing,33.33333333333333,2249328,5.5681545115943765
ME,2008,2000,Swing,33.33333333333333,2122957,-5.618166848054174
